stat,filename,set,combo_1,combo_2,combo_3,combo_4,combo_5,combo_6,combo_7,combo_8,combo_9,combo_10,combo_11,combo_12,combo_13,combo_14,combo_15,combo_16,combo_17,combo_18,combo_19,combo_20,combo_21,combo_22,combo_23,combo_24,combo_25
speed,set008-A4_231.txt,08,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
distance,set008-A4_231.txt,08,382.63,382.63,382.63,382.63,382.63,382.63,382.63,382.63,382.63,382.63,382.63,382.63,382.63,382.63,382.63,382.63,382.63,382.63,382.63,382.63,382.63,382.63,382.63,382.63,382.63
trough,set008-A4_307.txt,08,2668,2632,2620,2604,2592,2629,2607,2596,2589,2586,2604,2592,2586,2583,2588,2589,2585,2583,2587,2584,2583,2588,2585,2576,2572
speed,set008-A4_307.txt,08,0.39,0.34,0.35,0.33,0.31,0.35,0.33,0.31,0.31,0.3,0.33,0.31,0.3,0.3,0.32,0.31,0.3,0.3,0.32,0.31,0.3,0.32,0.31,0.29,0.29
distance,set008-A4_307.txt,08,1671.91,1649.29,1641.75,1631.7,1624.16,1647.4,1633.58,1626.67,1622.27,1620.39,1631.7,1624.16,1620.39,1618.5,1621.64,1622.27,1619.76,1618.5,1621.01,1619.13,1618.5,1621.64,1619.76,1614.1,1611.59
trough,set008-A4_308.txt,08,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109
speed,set008-A4_308.txt,08,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37
distance,set008-A4_308.txt,08,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09,64.09
trough,set008-A4_344.txt,08,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
speed,set008-A4_344.txt,08,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
distance,set008-A4_344.txt,08,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51
trough,set008-A4_421.txt,08,286,252,228,223,222,238,223,223,222,222,223,222,222,222,222,222,222,222,222,222,222,222,222,222,222
speed,set008-A4_421.txt,08,1.38,0.6,0.32,0.32,0.32,0.46,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
distance,set008-A4_421.txt,08,172.15,150.79,136.34,135.08,135.08,142.62,135.08,135.08,135.08,135.08,135.08,135.08,135.08,135.08,135.08,135.08,135.08,135.08,135.08,135.08,135.08,135.08,135.08,135.08,135.08
trough,set008-A4_95.txt,08,32,38,31,30,30,32,31,30,29,30,30,30,30,30,30,29,30,30,31,31,30,30,32,31,31
speed,set008-A4_95.txt,08,0.24,0.31,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.32,0.24,0.24,0.32,0.32,0.32,0.24,0.32,0.32,0.57,0.61,0.32,0.32,1.61,0.61,0.62
distance,set008-A4_95.txt,08,13.82,17.59,13.82,13.82,13.82,13.82,13.82,13.82,13.82,14.45,13.82,13.82,14.45,14.45,14.45,13.82,14.45,14.45,15.08,15.08,14.45,14.45,15.71,15.08,15.08
trough,set008-B1_309.txt,08,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594
speed,set008-B1_309.txt,08,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31
distance,set008-B1_309.txt,08,7282.63,7282.63,7282.63,7282.63,7282.63,7282.63,7282.63,7282.63,7282.63,7282.63,7282.63,7282.63,7282.63,7282.63,7282.63,7282.63,7282.63,7282.63,7282.63,7282.63,7282.63,7282.63,7282.63,7282.63,7282.63
trough,set008-B1_437.txt,08,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
speed,set008-B1_437.txt,08,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
distance,set008-B1_437.txt,08,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96
trough,set008-B2_105.txt,08,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
speed,set008-B2_105.txt,08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set008-B2_105.txt,08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set008-B2_249.txt,08,19607,19607,19607,19607,19607,19607,19607,19607,19607,19607,19607,19607,19607,19607,19607,19607,19607,19607,19607,19607,19607,19607,19607,19607,19607
speed,set008-B2_249.txt,08,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
distance,set008-B2_249.txt,08,12317.82,12317.82,12317.82,12317.82,12317.82,12317.82,12317.82,12317.82,12317.82,12317.82,12317.82,12317.82,12317.82,12317.82,12317.82,12317.82,12317.82,12317.82,12317.82,12317.82,12317.82,12317.82,12317.82,12317.82,12317.82
trough,set008-B2_3.txt,08,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122
speed,set008-B2_3.txt,08,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
distance,set008-B2_3.txt,08,74.77,74.77,74.77,74.77,74.77,74.77,74.77,74.77,74.77,74.77,74.77,74.77,74.77,74.77,74.77,74.77,74.77,74.77,74.77,74.77,74.77,74.77,74.77,74.77,74.77
trough,set008-B2_359.txt,08,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77
speed,set008-B2_359.txt,08,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
distance,set008-B2_359.txt,08,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88
trough,set008-B2_385.txt,08,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
speed,set008-B2_385.txt,08,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19
distance,set008-B2_385.txt,08,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03
trough,set008-B2_392.txt,08,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
speed,set008-B2_392.txt,08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set008-B2_392.txt,08,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26
trough,set008-B2_397.txt,08,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
speed,set008-B2_397.txt,08,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
