ID,filename,trial_type,chamber,channel_letter,channel_num,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,recording_duration,max_speed
439,set007-2-25-2020-B1_439.txt,T1,B-1,B,1,07,0.3,1087.49,5.65,0,1079.98,0.48,2259.07,0.33
161,set007-2-25-2020-B2_161.txt,T1,B-2,B,2,07,0.27,23530.8,6072.52,0,23530.8,0.98,23902.63,0.46
314,set007-2-25-2020-B2_314.txt,T1,B-2,B,2,07,0,0,0,0,0,0,2227.15,0
93,set007-2-25-2020-B2_93.txt,T1,B-2,B,2,07,0.19,13.93,4.4,0,13.93,0.01,2291.19,0.3
215,set007-2-25-2020-B3_215.txt,T1,B-3,B,3,07,0.24,43288.94,10109.35,0,43288.94,1.0,43345.51,0.39
310,set007-2-25-2020-B3_310.txt,T1,B-3,B,3,07,0.3,250.92,77.28,240.44,240.44,0.11,2360.35,0.59
413,set007-2-25-2020-B3_413.txt,T1,B-3,B,3,07,0,0,0,0,0,0,2035.15,0
99,set007-2-25-2020-B3_99.txt,T1,B-3,B,3,07,0,0,0,0,0,0,2168.95,0
192,set007-2-25-2020-B4_192.txt,T1,B-4,B,4,07,0,0,0,0,0,0,1763.71,0
254,set007-2-25-2020-B4_254.txt,T1,B-4,B,4,07,0.24,36.63,3.14,0,33.05,0.02,2130.67,0.39
327,set007-2-25-2020-B4_327.txt,T1,B-4,B,4,07,0,0,1.26,0,0,0,2190.15,0
342,set007-2-25-2020-B4_342.txt,T1,B-4,B,4,07,0.22,574.89,120.01,0,550.49,0.31,1868.87,0.46
38,set007-2-25-2020-B4_38.txt,T1,B-4,B,4,07,0.23,8585.5,1935.79,0,8585.5,0.78,10947.91,0.36
428,set007-2-25-2020-B4_428.txt,T1,B-4,B,4,07,0,0,0,0,0,0,2699.95,0
46,set007-2-25-2020-B4_46.txt,T1,B-4,B,4,07,0.17,779.57,3.77,0,769.28,0.37,2093.71,0.22
87,set007-2-25-2020-B4_87.txt,T1,B-4,B,4,07,0.27,24.59,8.8,0,15.31,0.01,2413.07,0.38
168,set008-2-26-2020-A1_168.txt,T1,A-1,A,1,08,0.14,0,1.88,0,0,0,2028.63,0
