ID,sex,population,site,host_plant,short-wing?,latitude,longitude,field_date_collected
186,M,Leesburg,Mount & 8th,K.elegans,N,28.7963435,-81.8778849,2.7.2020
187,F,Leesburg,Mount & 8th,K.elegans,N,28.7963435,-81.8778849,2.7.2020
188,F,Leesburg,Mount & 8th,K.elegans,N,28.7963435,-81.8778849,2.7.2020
189,F,Leesburg,Mount & 8th,K.elegans,N,28.7963435,-81.8778849,2.7.2020
190,M,Leesburg,Mount & 8th,K.elegans,N,28.7963435,-81.8778849,2.7.2020
191,M,Gainesville,23rd & 8th,K.elegans,N,29.66200224,-82.347313,2.9.2020
192,M,Gainesville,23rd & 8th,K.elegans,N,29.66200224,-82.347313,2.9.2020
193,M,Gainesville,23rd & 8th,K.elegans,N,29.66200224,-82.347313,2.9.2020
194,M,Gainesville,23rd & 8th,K.elegans,N,29.66200224,-82.347313,2.9.2020
195,M,Gainesville,23rd & 8th,K.elegans,N,29.66200224,-82.347313,2.9.2020
196,M,Gainesville,23rd & 8th,K.elegans,N,29.66200224,-82.347313,2.9.2020
197,M,Gainesville,23rd & 8th,K.elegans,N,29.66200224,-82.347313,2.9.2020
198,M,Gainesville,23rd & 8th,K.elegans,N,29.66200224,-82.347313,2.9.2020
199,F,Gainesville,23rd & 8th,K.elegans,N,29.66200224,-82.347313,2.9.2020
200,M,Gainesville,23rd & 8th,K.elegans,N,29.66200224,-82.347313,2.9.2020
201,M,Plantation Key,Aregood Ln,C. corindum,N,24.9735748,-80.5539224,2.4.2020
202,M,Plantation Key,Aregood Ln,C. corindum,N,24.9735748,-80.5539224,2.4.2020
203,M,Plantation Key,Aregood Ln,C. corindum,N,24.9735748,-80.5539224,2.4.2020
204,M,Plantation Key,Aregood Ln,C. corindum,N,24.9735748,-80.5539224,2.4.2020
205,M,Plantation Key,Aregood Ln,C. corindum,N,24.9735748,-80.5539224,2.4.2020
206,M,Plantation Key,Founder's,C. corindum,N,24.96424,-80.5673321,2.4.2020
207,F,Plantation Key,Founder's,C. corindum,N,24.96424,-80.5673321,2.4.2020
208,M,Plantation Key,Founder's,C. corindum,N,24.96424,-80.5673321,2.4.2020
209,M,Plantation Key,Founder's,C. corindum,N,24.96424,-80.5673321,2.4.2020
210,F,Plantation Key,Founder's,C. corindum,N,24.96424,-80.5673321,2.4.2020
211,F,Key Largo,KLMRL,C. corindum,N,25.1000151,-80.437522,2.5.2020
