ID,filename,trial_type,chamber,channel_letter,channel_num,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,recording_duration,max_speed,test_date,time_start,time_end,duration_check,sex,population,county,site,host_plant,flew,flight_type,NOTES,mass,EWM,latitude,longitude,total_eggs,beak,thorax,wing,body,w_morph,morph_notes,tested
14,set002-2-18-2020-B4_14.txt,T1,B-4,B,4,2,0.0,0.0,0.0,0.0,0.0,0.0,1865.75,0.0,2020-02-18,15:56:00,16:29:00,1980.0,M,Key Largo,Key Largo,KLMRL,C. corindum,N,,,0.023,N,25.1000151,-80.437522,,5.25,2.72,7.87,10.31,L,,yes
264,set002-2-18-2020-B4_264.txt,T1,B-4,B,4,2,0.23,27294.44,5838.16,0.0,26128.89,0.93,29231.23,0.36,2020-02-18,8:07:00,15:48:00,27660.0,M,Lake Placid,Highlands,110N Main,K.elegans,Y,C,,0.032,N,27.298631,-81.36615,,5.18,2.87,7.29,10.06,L,,yes
160,set003-2-19-2020-A2_160.txt,T1,A-2,A,2,3,0.0,0.0,0.0,0.0,0.0,0.0,2109.39,0.0,2020-02-19,8:23:00,08:58:00,2100.0,F,Homestead,Miami-Dade,SW 296th St,K.elegans,N,,,0.045,N,25.491362,-80.485821,,6.98,3.15,8.23,11.59,L,,yes
238,set003-2-19-2020-A2_238.txt,T1,A-2,A,2,3,0.0,0.0,0.0,0.0,0.0,0.0,2043.11,0.0,2020-02-19,9:00:00,09:31:00,1860.0,M,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,N,,,0.034,N,25.1755702,-80.36780089,,5.55,2.77,6.58,9.52,L,wings torn at the end,yes
27,set003-2-19-2020-A2_27.txt,T1,A-2,A,2,3,0.0,0.0,0.0,0.0,0.0,0.0,1858.95,0.0,2020-02-19,14:30:00,15:00:00,1800.0,F,North Key Largo,North Key Largo,Charlemagne,C. corindum,N,,,0.12,Y,25.19515,-80.345916,158.0,7.58,3.55,8.72,12.28,L,,yes
295,set003-2-19-2020-A2_295.txt,T1,A-2,A,2,3,0.29,11423.82,3189.88,0.0,8932.38,0.86,13325.27,0.45,2020-02-19,10:48:00,14:19:00,12660.0,M,Gainesville,Alachua,23rd & 8th,K.elegans,Y,C,,0.033,N,29.66200224,-82.347313,,5.12,3.03,7.77,10.64,L,,yes
322,set003-2-19-2020-A2_322.txt,T1,A-2,A,2,3,0.4,7535.68,2886.41,0.0,7535.68,0.99,7592.67,0.59,2020-02-19,15:01:00,17:08:00,7620.0,F,North Key Largo,North Key Largo,DD front,C. corindum,Y,C,,0.046,N,25.273488500000006,-80.3040957,,8.28,3.46,8.71,12.32,L,,yes
441,set003-2-19-2020-A2_441.txt,T1,A-2,A,2,3,0.44,4296.05,1882.39,0.0,4296.05,0.96,4473.55,0.59,2020-02-19,9:33:00,10:47:00,4440.0,M,North Key Largo,North Key Largo,Carysfort,C. corindum,Y,C,,0.052000000000000005,N,25.2565615,-80.3108042,,6.23,3.34,8.89,12.04,L,,yes
142,set003-2-19-2020-A3_142.txt,T1,A-3,A,3,3,0.21,19858.54,3975.25,0.0,19858.54,0.94,21078.79,0.6,2020-02-19,10:10:00,15:43:00,19980.0,F,North Key Largo,North Key Largo,MM165,C. corindum,Y,C,,0.08199999999999999,N,25.2275238,-80.3283788,,9.87,4.14,10.47,14.34,L,,yes
204,set003-2-19-2020-A3_204.txt,T1,A-3,A,3,3,0.4,7.75,3.77,0.0,7.75,0.0,2223.95,0.46,2020-02-19,9:34:00,10:08:00,2040.0,M,Plantation Key,Plantation Key,Aregood Ln,C. corindum,Y,B,,0.033,N,24.9735748,-80.5539224,,5.79,2.7,7.65,10.51,L,thorax torn on one side,yes
227,set003-2-19-2020-A3_227.txt,T1,A-3,A,3,3,0.0,0.0,0.0,0.0,0.0,0.0,1795.71,0.0,2020-02-19,16:31:00,17:01:00,1800.0,F,North Key Largo,North Key Largo,Charlemagne,C. corindum,N,,,0.112,Y,25.19515,-80.345916,318.0,7.9,3.33,8.5,12.37,L,,yes
292,set003-2-19-2020-A3_292.txt,T1,A-3,A,3,3,0.0,0.0,0.63,0.0,0.0,0.0,1723.91,0.0,2020-02-19,16:01:00,16:31:00,1800.0,F,Gainesville,Alachua,23rd & 8th,K.elegans,N,,,0.08800000000000001,N,29.66200224,-82.347313,22.0,8.24,3.92,9.5,13.32,L,wings torn at the end,yes
443,set003-2-19-2020-A3_443.txt,T1,A-3,A,3,3,0.31,3261.14,970.1,0.0,3230.8,0.78,4160.59,0.46,2020-02-19,8:24:00,09:32:00,4080.0,M,North Key Largo,North Key Largo,Carysfort,C. corindum,Y,BC,,0.038,N,25.2565615,-80.3108042,,5.56,3.24,8.16,11.42,L,,yes
109,set003-2-19-2020-A4_109.txt,T1,A-4,A,4,3,0.0,0.0,0.0,0.0,0.0,0.0,2031.67,0.0,2020-02-19,13:56:00,14:29:00,1980.0,F,Plantation Key,Plantation Key,Founder's,C. corindum,N,,,0.055,N,24.96424,-80.5673321,7.0,6.76,3.59,9.29,12.87,L,,yes
11,set003-2-19-2020-A4_11.txt,T1,A-4,A,4,3,0.29,2504.78,666.0,0.0,2504.78,0.67,3750.95,0.45,2020-02-19,14:31:00,15:15:00,2640.0,M,Key Largo,Key Largo,KLMRL,C. corindum,Y,C,,0.043,N,25.1000151,-80.437522,,5.88,3.14,8.39,11.68,L,,yes
12,set003-2-19-2020-A4_12.txt,T1,A-4,A,4,3,0.3,7346.7,2168.89,0.0,7346.7,0.87,8490.31,0.47,2020-02-19,11:34:00,13:47:00,7980.0,F,Key Largo,Key Largo,KLMRL,C. corindum,Y,C,,0.07400000000000001,N,25.1000151,-80.437522,329.0,8.79,3.86,10.07,14.0,L,,yes
123,set003-2-19-2020-A4_123.txt,T1,A-4,A,4,3,0.29,1369.07,8.17,0.0,764.44,0.62,2224.91,0.37,2020-02-19,9:35:00,10:08:00,1980.0,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,B,,0.03,N,25.1820931,-80.36319379999998,,6.13,2.99,7.43,10.56,L,,yes
196,set003-2-19-2020-A4_196.txt,T1,A-4,A,4,3,0.3,1018.51,57.18,179.4,839.11,0.34,2971.71,0.47,2020-02-19,10:44:00,11:32:00,2880.0,M,Gainesville,Alachua,23rd & 8th,K.elegans,Y,C,,0.04,N,29.66200224,-82.347313,,5.65,2.99,7.95,11.06,L,,yes
33,set003-2-19-2020-A4_33.txt,T1,A-4,A,4,3,0.23,23288.83,5318.56,0.0,23288.83,1.0,23317.03,0.54,2020-02-19,15:31:00,22:01:46,23446.0,M,North Key Largo,North Key Largo,Carysfort,C. corindum,Y,C,,0.044,N,25.2565615,-80.3108042,,6.05,3.38,8.39,11.52,L,,yes
