ID,died?,chamber,set_number,test_date,time_start,time_end,next_day?,population,flew,flight_type,mass,eggs,NOTES,trial_type
342,,B-4,7,2.25.2020,15:32:00,16:03:00,,North Key Largo,Y,CB,NA,NA,,T1
168,,A-1,8,2.26.2020,9:05:00,09:35:00,,Lake Placid,N,,0.052,N,,T1
96,,A-2,8,2.26.2020,9:05:00,09:35:00,,North Key Largo,N,,0.098,Y,,T1
40,,A-3,8,2.26.2020,9:05:00,10:17:00,,North Key Largo,Y,C,0.033,N,,T1
307,,A-4,8,2.26.2020,9:05:00,10:55:00,,Plantation Key,Y,C,0.029,N,,T1
437,,B-1,8,2.26.2020,9:05:00,09:35:00,,North Key Largo,Y,B,0.046,N,,T1
407,,B-2,8,2.26.2020,9:05:00,09:35:00,,Key Largo,N,,0.076,Y,,T1
200,,B-3,8,2.26.2020,9:05:00,09:35:00,,Gainesville,Y,B,0.033,N,,T1
304,,B-4,8,2.26.2020,9:05:00,09:35:00,,Plantation Key,N,,0.028,N,,T1
212,,A-1,8,2.26.2020,9:40:00,22:02:33,Y,Key Largo,Y,C,0.033,N,,T1
136,,A-2,8,2.26.2020,9:41:00,17:07:41,Y,North Key Largo,Y,C,0.051,Y,,T1
309,,B-1,8,2.26.2020,9:42:00,16:30:00,,Plantation Key,Y,C,0.035,N,,T1
397,,B-2,8,2.26.2020,9:43:00,10:18:00,,Key Largo,Y,B,0.047,N,,T1
265,,B-3,8,2.26.2020,9:45:00,10:18:00,,Lake Placid,N,,0.049,N,,T1
156,,B-4,8,2.26.2020,9:46:00,10:18:00,,Homestead,N,,0.060,Y,,T1
225,,A-3,8,2.26.2020,10:20:00,11:10:00,,North Key Largo,Y,C,0.038,N,,T1
392,,B-2,8,2.26.2020,10:21:00,10:55:00,,Plantation Key,Y,B,0.026,N,,T1
31,,B-3,8,2.26.2020,10:23:00,10:55:00,,North Key Largo,N,,0.101,Y,,T1
253,,B-4,8,2.26.2020,10:24:00,10:55:00,,Homestead,Y,B,0.129,Y,,T1
231,,A-4,8,2.26.2020,10:57:00,11:31:00,,North Key Largo,Y,C,0.039,N,,T1
105,,B-2,8,2.26.2020,10:58:00,11:31:00,,Plantation Key,N,,0.044,N,,T1
112,,B-3,8,2.26.2020,10:59:00,11:31:00,,Key Largo,N,,0.073,Y,,T1
343,,B-4,8,2.26.2020,11:00:00,19:00:59,Y,North Key Largo,Y,C,0.041,N,,T1
355,,A-3,8,2.26.2020,11:41:00,13:37:00,,North Key Largo,Y,C,0.027,N,,T1
95,,A-4,8,2.26.2020,11:43:00,12:15:00,,North Key Largo,Y,B,0.049,N,,T1
77,,B-2,8,2.26.2020,11:45:00,13:35:00,,Leesburg,Y,C,0.036,N,,T1
120,,B-3,8,2.26.2020,11:46:00,12:15:00,,Key Largo,Y,B,0.029,N,,T1
193,,A-3,8,2.26.2020,13:38:00,14:09:00,,Gainesville,N,,0.039,N,,T1
308,,A-4,8,2.26.2020,13:39:00,14:11:00,,Plantation Key,Y,B,0.072,N,,T1
385,,B-2,8,2.26.2020,13:40:00,14:11:00,,Plantation Key,Y,B,0.067,Y,,T1
52,,B-3,8,2.26.2020,13:41:00,22:06:01,Y,Lake Placid,Y,BC,0.038,N,,T1
