ID,population,sex,beak,thorax,wing,body,w_morph,notes,date_measured,date_entered,recorder
254,HS,F,6.21,3.04,8.11,11.33,L,,04.06.2020,04.09.2020,AB
256,HS,M,5.19,2.61,6.48,9.3,L,,04.06.2020,04.09.2020,AB
257,HS,M,5.42,2.78,7.72,10.74,L,,04.06.2020,04.09.2020,AB
258,HS,M,5.49,2.65,7.22,10.07,L,,04.08.2020,04.09.2020,AB
259,HS,M,5.19,2.68,7.12,9.99,L,,04.08.2020,04.09.2020,AB
260,HS,M,4.98,2.49,6.24,8.84,L,,04.08.2020,04.09.2020,AB
261,LP,M,5.41,3.01,8.68,11.48,L,,04.08.2020,04.09.2020,AB
262,LP,M,5.41,2.99,8.3,11.21,L,,04.08.2020,04.09.2020,AB
263,LP,F,8.01,3.46,9.39,12.63,L,,04.08.2020,04.09.2020,AB
264,LP,M,5.18,2.87,7.29,10.06,L,,04.08.2020,04.09.2020,AB
265,LP,F,6.44,3.36,8.43,11.86,L,,04.08.2020,04.09.2020,AB
266,LP,M,5.17,2.76,7.84,10.65,L,,04.08.2020,04.09.2020,AB
267,LP,M,5.56,3.1,8.99,12.33,L,,04.08.2020,04.09.2020,AB
268,LP,M,5.58,2.84,7.8,10.96,L,,04.08.2020,04.09.2020,AB
269,LP,F,6.98,3.71,9.85,13.5,L,,04.08.2020,04.09.2020,AB
270,LP,M,5.43,2.88,7.66,10.56,L,,04.09.2020,04.09.2020,AB
271,LW,F,7.59,3.31,9.21,12.82,L,,04.09.2020,04.09.2020,AB
274,LW,M,5.58,2.89,7.56,10.97,L,wings torn at the end,04.09.2020,04.09.2020,AB
275,LW,M,5.31,2.68,7.65,10.44,L,,04.09.2020,04.09.2020,AB
281,LB,M,5.14,2.72,6.94,9.98,L,,04.09.2020,04.09.2020,AB
282,LB,M,5.72,3.1,8.59,11.72,L,,04.09.2020,04.09.2020,AB
292,GV,F,8.24,3.92,9.5,13.32,L,wings torn at the end,04.09.2020,04.09.2020,AB
293,GV,M,6.05,3.11,7.79,10.78,L,wings torn at the end,04.09.2020,04.09.2020,AB
294,GV,M,5.23,3.08,8.14,11.03,L,,04.09.2020,04.09.2020,AB
295,GV,M,5.12,3.03,7.77,10.64,L,,04.09.2020,04.09.2020,AB
246,NKL,F,8.15,4.04,10.52,14.5,L,,04.09.2020,04.09.2020,AB
301,PK,M,6.2,3.15,8.75,11.74,L,,04.09.2020,04.09.2020,AB
303,PK,M,5.54,3.2,8.52,11.64,L,,04.09.2020,04.09.2020,AB
304,PK,M,5.53,2.95,8.12,10.9,L,,04.09.2020,04.09.2020,AB
306,PK,M,6.25,3.16,8.57,11.73,L,,04.09.2020,04.09.2020,AB
307,PK,M,5.52,2.88,7.48,10.51,L,,04.09.2020,04.09.2020,AB
308,PK,F,8.04,3.4,9.11,12.6,L,,04.09.2020,04.09.2020,AB
309,PK,M,5.84,2.93,7.77,10.76,L,,04.09.2020,04.09.2020,AB
310,PK,M,6.12,2.94,8,11,L,,04.09.2020,04.09.2020,AB
311,KL,M,6.22,3.03,8.05,11.38,L,wings torn at the end,04.09.2020,04.09.2020,AB
312,KL,M,5.72,3.06,8.4,11.36,L,,04.09.2020,04.09.2020,AB
313,KL,M,5.63,3.02,8.2,11.33,L,,04.09.2020,04.09.2020,AB
314,KL,F,7.92,3.47,9.99,13.92,L,thorax torn on one side,04.09.2020,04.09.2020,AB
315,KL,M,5.37,3.08,8.01,10.8,L,,04.09.2020,04.09.2020,AB
316,KL,M,6.97,3.18,8.55,11.66,L,wings torn at the end,04.09.2020,04.09.2020,AB
318,KL,F,7.51,3.31,9,12.27,L,,04.09.2020,04.09.2020,AB
319,KL,F,7.84,3.37,8.61,12.22,L,,04.09.2020,04.09.2020,AB
320,KL,M,6.22,3.13,8.02,11.31,L,,04.09.2020,04.09.2020,AB
321,NKL,F,9.17,3.73,9.38,12.86,L,,04.09.2020,04.09.2020,AB
322,NKL,F,8.28,3.46,8.71,12.32,L,,04.09.2020,04.09.2020,AB
323,NKL,M,6.41,3.02,8.13,11.12,L,,04.09.2020,04.09.2020,AB
324,NKL,M,6.67,3.2,8.46,11.4,L,,04.09.2020,04.09.2020,AB
325,NKL,M,5.71,3.34,8.49,11.61,L,,04.09.2020,04.09.2020,AB
326,NKL,F,9.44,4,10.17,14.13,L,,04.09.2020,04.09.2020,AB
327,NKL,F,6.9,3.05,7.79,11.22,L,,04.09.2020,04.09.2020,AB
328,NKL,F,8.04,3.53,9.18,12.63,L,,04.09.2020,04.09.2020,AB
329,NKL,F,8.49,3.25,8.52,12.17,L,,04.09.2020,04.09.2020,AB
330,NKL,F,8.54,3.5,9.35,13.05,L,,04.09.2020,04.09.2020,AB
331,NKL,M,5.97,2.88,7.99,10.86,L,,04.09.2020,04.09.2020,AB
332,NKL,M,5.84,2.87,7.55,10.62,L,,04.09.2020,04.09.2020,AB
333,NKL,M,5.78,2.85,7.1,10.18,L,,04.09.2020,04.09.2020,AB
334,NKL,F,8.32,3.39,9.09,12.47,L,,04.09.2020,04.09.2020,AB
335,NKL,M,5.54,3.01,7.68,10.57,L,,04.09.2020,04.09.2020,AB
339,NKL,F,7.84,3.49,9.01,12.59,L,,04.10.2020,04.10.2020,AB
338,NKL,M,6,3.3,7.35,10.71,L,wings torn at the end,04.10.2020,04.10.2020,AB
342,NKL,F,7.53,3.27,8.13,12.13,L,,04.10.2020,04.10.2020,AB
343,NKL,M,6.05,3.03,8.31,11.52,L,,04.10.2020,04.10.2020,AB
344,NKL,M,5.85,2.76,6.05,9.38,LS,,04.10.2020,04.10.2020,AB
345,NKL,F,6.84,3.02,6,9.41,S,,04.10.2020,04.10.2020,AB
346,NKL,F,8.09,3.81,9.85,14.05,LS,,04.10.2020,04.10.2020,AB
347,NKL,M,6.08,3.16,8.42,11.66,L,wings torn at the end,04.10.2020,04.10.2020,AB
349,NKL,M,5.47,2.92,8.29,11.29,L,,04.10.2020,04.10.2020,AB
350,NKL,M,5.84,2.98,7.83,10.88,L,,04.10.2020,04.10.2020,AB
351,NKL,M,6.16,3.01,7.88,10.9,L,,04.10.2020,04.10.2020,AB
352,NKL,M,5.51,2.75,7.11,9.94,L,,04.10.2020,04.10.2020,AB
353,NKL,M,6.43,3.27,8.85,11.84,L,,04.10.2020,04.10.2020,AB
354,NKL,M,5.47,2.72,6.73,9.77,L,wings torn at the end,04.10.2020,04.10.2020,AB
355,NKL,M,5.69,2.94,7.27,10.38,L,,04.10.2020,04.10.2020,AB
356,NKL,M,6.02,2.76,7.12,10.08,L,wings torn at the end,04.10.2020,04.10.2020,AB
357,NKL,M,5.98,2.76,7.15,10.13,L,,04.10.2020,04.10.2020,AB
358,NKL,M,5.24,2.49,6.06,8.89,L,,04.10.2020,04.10.2020,AB
359,NKL,M,5.52,2.64,7.17,9.95,L,,04.10.2020,04.10.2020,AB
360,NKL,F,8.5,3.28,8.65,12.35,L,,04.10.2020,04.10.2020,AB
371,LP,M,5.37,2.84,7.73,10.82,L,,04.10.2020,04.10.2020,AB
374,LP,F,7.92,3.37,9.53,13.16,L,,04.10.2020,04.10.2020,AB
375,LW,F,6.62,3.6,9.83,13.61,L,wings torn at the end,04.10.2020,04.10.2020,AB
376,LW,M,5.27,2.74,8.04,10.94,L,,04.10.2020,04.10.2020,AB
381,GV,M,5.76,3.42,8.96,12.03,L,wings torn at the end,04.10.2020,04.10.2020,AB
382,PK,M,5.63,2.77,7.55,10.32,L,,04.10.2020,04.10.2020,AB
383,PK,M,6.3,3.31,8.78,11.97,L,,04.10.2020,04.10.2020,AB
384,PK,M,5.7,2.91,7.79,10.77,L,,04.10.2020,04.10.2020,AB
385,PK,F,7.77,3.3,9.02,12.44,L,,04.10.2020,04.10.2020,AB
387,PK,F,6.58,3.21,8.32,11.7,L,,04.10.2020,04.10.2020,AB
388,PK,M,6.23,3.11,8.31,11.45,L,,04.10.2020,04.10.2020,AB
389,PK,F,7.21,3.59,10.02,13.53,L,wings torn at the end,04.10.2020,04.10.2020,AB
390,PK,F,7.26,2.99,6.67,10.01,LS,,04.10.2020,04.10.2020,AB
391,PK,F,8.53,3.3,8.48,11.98,L,,04.10.2020,04.10.2020,AB
392,PK,M,5.89,2.74,6.3,9.34,L,wings torn at the end,04.10.2020,04.10.2020,AB
393,PK,F,7.51,3.55,9.04,12.63,LS,,04.10.2020,04.10.2020,AB
394,PK,M,6.09,2.68,7.57,10.67,L,,04.10.2020,04.10.2020,AB
395,KL,M,5.98,3.18,8.23,11.41,L,wings torn at the end,04.10.2020,04.10.2020,AB
396,KL,M,6.69,3.25,8.53,11.76,L,,04.10.2020,04.10.2020,AB
397,KL,M,5.56,3.35,8.8,12.08,L,,04.10.2020,04.10.2020,AB
400,KL,M,5.35,3.23,8.61,11.71,L,,04.10.2020,04.10.2020,AB
401,PK,F,9.01,3.77,10.53,13.86,L,,04.10.2020,04.10.2020,AB
403,PK,M,6.17,3.16,8.55,11.85,L,,04.10.2020,04.10.2020,AB
404,PK,M,5.45,2.65,7.2,10.09,L,,04.10.2020,04.10.2020,AB
405,PK,F,6.37,2.99,7.4,10.73,L,wings torn at the end,04.10.2020,04.10.2020,AB
406,KL,M,5.98,3.12,8.4,11.48,L,,04.10.2020,04.10.2020,AB
407,KL,F,6.39,2.98,6.46,9.82,LS,,04.10.2020,04.10.2020,AB
408,KL,F,6.38,2.8,6.91,10.04,L,wings torn at the end,04.10.2020,04.10.2020,AB
409,KL,M,5.4,2.63,7.17,9.73,L,,04.10.2020,04.10.2020,AB
410,KL,M,6.28,3.28,8.8,11.96,L,,04.10.2020,04.10.2020,AB
411,NKL,M,6.08,2.98,7.63,10.7,L,,04.10.2020,04.10.2020,AB
412,NKL,M,5.77,2.77,7.3,10.22,L,,04.10.2020,04.10.2020,AB
413,NKL,M,5.99,3.26,8.25,11.39,L,,04.10.2020,04.10.2020,AB
415,NKL,M,6.12,3.1,8.56,11.66,L,,04.10.2020,04.10.2020,AB
416,NKL,M,5.78,3,8.35,11.27,L,,04.10.2020,04.10.2020,AB
417,NKL,M,6.07,2.82,7.53,10.73,L,,04.10.2020,04.10.2020,AB
